2026-04-11 12:06:18 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=129ms
2026-04-11 12:06:18 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=496ms
2026-04-11 12:06:18 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=527ms
2026-04-11 12:06:34 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=401 | time=766ms
2026-04-11 12:06:45 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=401 | time=42ms
2026-04-11 12:07:06 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=401 | time=17ms
2026-04-11 12:14:43 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/register | IP=0:0:0:0:0:0:0:1 | status=200 | time=4520ms
2026-04-11 12:14:53 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=401 | time=41ms
2026-04-11 12:15:16 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=2747ms
2026-04-11 12:15:16 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=a_b_3932 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=66ms
2026-04-11 12:15:16 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=a_b_3932 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=152ms
2026-04-11 12:15:16 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=a_b_3932 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=165ms
2026-04-11 12:15:36 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=a_b_3932 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=8ms
2026-04-11 12:15:37 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=a_b_3932 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=126ms
2026-04-11 12:15:37 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=a_b_3932 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=220ms
2026-04-11 12:27:44 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=a_b_3932 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=232ms
2026-04-11 12:27:44 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=a_b_3932 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=538ms
2026-04-11 12:27:44 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=a_b_3932 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=615ms
