2026-03-12 11:01:26 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=500 | time=1115ms
2026-03-12 11:02:19 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=406ms
2026-03-12 11:02:52 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/users | IP=0:0:0:0:0:0:0:1 | status=500 | time=7474ms
2026-03-12 11:07:34 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/users | IP=0:0:0:0:0:0:0:1 | status=200 | time=4006ms
2026-03-12 11:12:19 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/users | IP=0:0:0:0:0:0:0:1 | status=200 | time=4359ms
2026-03-12 11:14:44 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/auth-summary | IP=0:0:0:0:0:0:0:1 | status=200 | time=556ms
2026-03-12 11:15:42 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/user-roles | IP=0:0:0:0:0:0:0:1 | status=200 | time=1771ms
2026-03-12 11:17:16 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/auth-summary | IP=0:0:0:0:0:0:0:1 | status=200 | time=423ms
2026-03-12 11:17:34 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/users | IP=0:0:0:0:0:0:0:1 | status=200 | time=333ms
2026-03-12 11:56:19 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/auth-summary | IP=0:0:0:0:0:0:0:1 | status=200 | time=5418ms
2026-03-12 11:58:21 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/auth-summary | IP=0:0:0:0:0:0:0:1 | status=200 | time=5239ms
2026-03-12 12:06:44 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/auth-summary | IP=0:0:0:0:0:0:0:1 | status=200 | time=5138ms
2026-03-12 12:07:53 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=1253ms
2026-03-12 12:08:02 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=noah_davis_5638 | GET /api/v1/reports/auth-summary | IP=0:0:0:0:0:0:0:1 | status=200 | time=521ms
2026-03-12 13:56:18 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=2138ms
2026-03-12 14:15:24 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /Report-API.html | IP=0:0:0:0:0:0:0:1 | status=200 | time=91ms
2026-03-12 14:34:00 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=500 | time=504ms
2026-03-12 14:39:12 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/register | IP=0:0:0:0:0:0:0:1 | status=200 | time=5233ms
2026-03-12 14:39:45 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=500 | time=74ms
2026-03-12 14:43:50 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=500 | time=1253ms
2026-03-12 14:43:52 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=500 | time=40ms
2026-03-12 14:54:55 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=500 | time=4416ms
2026-03-12 14:55:33 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=127.0.0.1 | status=200 | time=2066ms
2026-03-12 15:10:31 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=616ms
2026-03-12 15:10:31 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=868ms
2026-03-12 15:10:31 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=934ms
2026-03-12 15:11:50 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=36ms
2026-03-12 15:11:50 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=279ms
2026-03-12 15:11:50 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=295ms
2026-03-12 15:12:06 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=15ms
2026-03-12 15:12:07 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_3605 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=214ms
